Experiment_Type,Category,Num_Agents,Temperature,Ctx_Size,Model,Turn_Policy,Run_ID,Turns_Taken,Correct_Option,Elapsed_Seconds,Avg_Turn_Seconds,N_Turns,File,Agents_Verdict,Is_Correct,BERTScore_F1,BLEU,ROUGE_L,Speaker_Gini,Silent_Agents,Avg_Turn_Length,Max_Speaker_Share
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,1,11,Yes,98.428,8.948,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run1/question_1.json,No,0,0.765,0.0,0.0,0.0455,0.0,776.18,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,1,8,Yes,81.212,10.152,8,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run1/question_10.json,No,0,0.767,0.0,0.0,0.0,0.0,945.88,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,1,13,No,143.405,11.031,13,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run1/question_2.json,No,1,0.7639,0.0,0.0,0.0385,0.0,983.23,0.5385
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,1,10,No,94.411,9.441,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run1/question_3.json,No,1,0.7716,0.0,0.0,0.0,0.0,796.5,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,1,12,No,141.737,11.811,12,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run1/question_4.json,Yes,0,0.7543,0.0004,0.0043,0.0,0.0,1057.0,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,1,9,Yes,83.633,9.293,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run1/question_5.json,No,0,0.767,0.0,0.0,0.0556,0.0,833.67,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,1,11,No,119.087,10.826,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run1/question_6.json,No,1,0.7634,0.0005,0.0052,0.0455,0.0,904.18,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,1,10,Yes,112.745,11.274,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run1/question_7.json,Yes,1,0.7587,0.0,0.0,0.0,0.0,968.2,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,1,12,Yes,120.201,10.017,12,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run1/question_8.json,No,0,0.7652,0.0,0.0,0.0,0.0,851.83,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,1,3,Yes,25.053,8.351,3,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run1/question_9.json,No,0,0.7695,0.0,0.0,0.1667,0.0,1181.67,0.6667
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,2,12,No,116.825,9.735,12,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run2/question_0.json,No,1,0.7609,0.0,0.0,0.0,0.0,813.75,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,2,10,Yes,126.294,12.629,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run2/question_1.json,Yes,1,0.7518,0.0,0.0,0.0,0.0,1140.0,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,2,12,Yes,112.079,9.34,12,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run2/question_10.json,No,0,0.7656,0.0,0.0068,0.0,0.0,825.33,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,2,13,No,122.171,9.398,13,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run2/question_2.json,No,1,0.7676,0.0,0.0,0.0385,0.0,761.38,0.5385
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,2,11,No,117.538,10.685,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run2/question_3.json,No,1,0.7576,0.0,0.0,0.0455,0.0,896.91,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,2,10,No,129.67,12.967,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run2/question_4.json,Yes,0,0.7627,0.0,0.0,0.0,0.0,1268.1,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,2,13,Yes,128.569,9.89,13,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run2/question_5.json,No,0,0.7682,0.0,0.0,0.0385,0.0,802.46,0.5385
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,2,10,No,94.698,9.47,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run2/question_6.json,No,1,0.7664,0.0,0.0,0.0,0.0,834.2,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,2,9,Yes,86.706,9.634,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run2/question_7.json,Yes,1,0.7613,0.0,0.0,0.0556,0.0,779.67,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,2,11,Yes,113.761,10.342,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run2/question_8.json,No,0,0.7588,0.0,0.0,0.0455,0.0,876.55,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,2,7,Yes,80.013,11.43,7,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run2/question_9.json,No,0,0.7597,0.0,0.0,0.0714,0.0,1213.29,0.5714
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,0,10,No,98.991,9.899,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run0/question_0.json,No,1,0.7572,0.0,0.0,0.0,0.0,937.3,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,0,12,Yes,131.807,10.984,12,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run0/question_1.json,No,0,0.759,0.0,0.0,0.0,0.0,1027.25,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,0,9,Yes,78.636,8.737,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run0/question_10.json,No,0,0.7601,0.0,0.0,0.0556,0.0,853.44,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,0,8,No,86.019,10.752,8,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run0/question_2.json,Yes,0,0.7615,0.0,0.0,0.0,0.0,1070.5,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,0,9,No,76.665,8.518,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run0/question_3.json,No,1,0.7662,0.0,0.0,0.0556,0.0,722.33,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,0,8,No,76.786,9.598,8,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run0/question_4.json,Yes,0,0.7645,0.0,0.0,0.0,0.0,999.12,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,0,9,Yes,79.326,8.814,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run0/question_5.json,Yes,1,0.7579,0.0,0.0,0.0556,0.0,845.33,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,0,11,No,115.516,10.501,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run0/question_6.json,No,1,0.7672,0.0006,0.0063,0.0455,0.0,889.91,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,0,11,Yes,129.065,11.733,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run0/question_7.json,Yes,1,0.7611,0.0,0.0,0.0455,0.0,1046.64,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,0,12,Yes,96.893,8.074,12,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run0/question_8.json,Yes,1,0.7653,0.0,0.0,0.0,0.0,656.5,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,0,9,Yes,96.657,10.74,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run0/question_9.json,Yes,1,0.7582,0.0,0.0,0.0556,0.0,1097.78,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,1,12,No,112.021,9.335,12,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run1/question_0.json,No,1,0.7678,0.0,0.0,0.0,0.0,817.42,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,1,10,Yes,120.641,12.064,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run1/question_1.json,No,0,0.7568,0.0,0.0,0.0,0.0,1114.5,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,1,11,Yes,106.234,9.658,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run1/question_10.json,No,0,0.7604,0.0,0.0,0.0455,0.0,935.82,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,1,8,No,56.064,7.008,8,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run1/question_2.json,No,1,0.7722,0.0,0.0,0.0,0.0,644.38,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,1,9,No,95.604,10.623,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run1/question_3.json,No,1,0.7592,0.0,0.0,0.0556,0.0,922.0,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,1,8,No,84.04,10.505,8,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run1/question_4.json,Yes,0,0.763,0.0,0.0,0.0,0.0,1044.0,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,1,13,Yes,135.176,10.398,13,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run1/question_5.json,Yes,1,0.7625,0.0,0.0,0.0385,0.0,937.54,0.5385
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,1,9,No,92.436,10.271,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run1/question_6.json,Yes,0,0.7665,0.0,0.0,0.0556,0.0,941.33,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,1,11,Yes,124.965,11.36,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run1/question_7.json,No,0,0.7581,0.0,0.0,0.0455,0.0,1013.0,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,1,10,Yes,113.372,11.337,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run1/question_8.json,Yes,1,0.7612,0.0,0.0,0.0,0.0,1058.2,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,1,3,Yes,16.028,5.343,3,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run1/question_9.json,No,0,0.773,0.0,0.0,0.1667,0.0,1007.0,0.6667
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,2,10,No,102.054,10.205,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run2/question_0.json,No,1,0.7652,0.0,0.0,0.0,0.0,949.1,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,2,10,Yes,87.584,8.758,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run2/question_1.json,No,0,0.7677,0.0,0.0,0.0,0.0,800.7,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,2,9,Yes,81.176,9.02,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run2/question_10.json,No,0,0.7654,0.0,0.0,0.0556,0.0,920.11,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,2,9,No,87.498,9.722,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run2/question_2.json,No,1,0.7619,0.0,0.0,0.0556,0.0,883.56,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,2,10,No,82.822,8.282,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run2/question_3.json,No,1,0.7673,0.0,0.0,0.0,0.0,704.8,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,2,9,No,102.972,11.441,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run2/question_4.json,No,1,0.7648,0.0,0.0,0.0556,0.0,1126.89,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,2,8,Yes,61.508,7.689,8,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run2/question_5.json,No,0,0.777,0.0,0.0,0.0,0.0,718.88,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,2,12,No,119.22,9.935,12,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run2/question_6.json,No,1,0.767,0.0,0.0,0.0,0.0,853.17,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,2,10,Yes,90.184,9.018,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run2/question_7.json,Yes,1,0.7626,0.0,0.0,0.0,0.0,774.1,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,2,11,Yes,94.717,8.611,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run2/question_8.json,No,0,0.7695,0.0,0.0,0.0455,0.0,746.45,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,random,2,10,Yes,98.251,9.825,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-random_run2/question_9.json,No,0,0.7575,0.0,0.0,0.0,0.0,1012.9,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,0,11,No,92.351,8.396,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run0/question_0.json,No,1,0.7619,0.0,0.0,0.0455,0.0,756.27,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,0,12,Yes,117.374,9.781,12,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run0/question_1.json,No,0,0.7621,0.0,0.0,0.0,0.0,891.75,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,0,11,Yes,108.601,9.873,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run0/question_10.json,No,0,0.7619,0.0,0.0,0.0455,0.0,985.45,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,0,9,No,89.66,9.962,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run0/question_2.json,No,1,0.765,0.0,0.0,0.0556,0.0,935.78,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,0,12,No,109.75,9.146,12,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run0/question_3.json,No,1,0.7649,0.0,0.006,0.0,0.0,725.42,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,0,3,No,17.913,5.971,3,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run0/question_4.json,No,1,0.7785,0.0,0.0,0.1667,0.0,1013.0,0.6667
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,0,10,Yes,89.182,8.918,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run0/question_5.json,No,0,0.7608,0.0,0.0,0.0,0.0,791.2,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,0,9,No,85.583,9.509,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run0/question_6.json,No,1,0.7633,0.0,0.0,0.0556,0.0,849.22,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,0,10,Yes,110.133,11.013,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run0/question_7.json,No,0,0.764,0.0,0.0,0.0,0.0,992.0,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,0,11,Yes,110.186,10.017,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run0/question_8.json,No,0,0.7618,0.0,0.0,0.0455,0.0,913.73,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,0,11,Yes,123.598,11.236,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run0/question_9.json,No,0,0.7632,0.0,0.0,0.0455,0.0,1150.64,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,1,11,No,107.553,9.778,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run1/question_0.json,No,1,0.7657,0.0,0.0,0.0455,0.0,877.55,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,1,9,Yes,92.746,10.305,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run1/question_1.json,Yes,1,0.7629,0.0,0.0,0.0556,0.0,943.0,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,1,11,Yes,108.306,9.846,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run1/question_10.json,No,0,0.7629,0.0,0.0,0.0455,0.0,927.0,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,1,10,No,125.13,12.513,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run1/question_2.json,No,1,0.7586,0.0,0.0,0.0,0.0,1180.8,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,1,8,No,65.593,8.199,8,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run1/question_3.json,No,1,0.7692,0.0,0.0,0.0,0.0,685.25,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,1,10,No,101.017,10.102,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run1/question_4.json,Yes,0,0.7584,0.0,0.0,0.0,0.0,1032.6,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,1,8,Yes,61.036,7.63,8,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run1/question_5.json,Yes,1,0.7752,0.0,0.0,0.0,0.0,714.25,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,1,11,No,120.921,10.993,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run1/question_6.json,No,1,0.7613,0.0,0.0,0.0455,0.0,992.18,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,1,11,Yes,106.71,9.701,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run1/question_7.json,Yes,1,0.7596,0.0,0.0,0.0455,0.0,812.55,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,1,10,Yes,77.448,7.745,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run1/question_8.json,No,0,0.768,0.0,0.0,0.0,0.0,667.0,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,1,11,Yes,122.596,11.145,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run1/question_9.json,No,0,0.7655,0.0,0.0,0.0455,0.0,1055.55,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,2,9,No,84.883,9.431,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run2/question_0.json,No,1,0.7595,0.0,0.0,0.0556,0.0,893.67,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,2,10,Yes,92.722,9.272,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run2/question_1.json,No,0,0.7737,0.0,0.0,0.0,0.0,845.4,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,2,11,Yes,95.945,8.722,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run2/question_10.json,No,0,0.7632,0.0,0.0,0.0455,0.0,825.55,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,2,10,No,111.005,11.101,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run2/question_2.json,No,1,0.7662,0.0,0.0,0.0,0.0,1048.3,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,2,9,No,65.093,7.233,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run2/question_3.json,No,1,0.7717,0.0,0.0,0.0556,0.0,596.0,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,2,10,No,102.791,10.279,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run2/question_4.json,Yes,0,0.7616,0.0,0.0,0.0,0.0,1026.5,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,2,11,Yes,132.01,12.001,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run2/question_5.json,No,0,0.7556,0.0,0.0,0.0455,0.0,1087.64,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,2,9,No,100.649,11.183,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run2/question_6.json,No,1,0.7596,0.0,0.0,0.0556,0.0,1002.44,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,round_robin,2,10,Yes,109.09,10.909,10,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-round_robin_run2/question_7.json,No,0,0.7606,0.0,0.0,0.0,0.0,986.9,0.5
